datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2000/01/17@00:17:23,184,0.05230713,-0.06427002,1.0437012,-2.1068702,0.8396947,-1.038168
2000/01/17@00:17:24,185,0.05267334,-0.06201172,1.0414429,-5.5038168,-0.35114504,-1.9923664
2000/01/17@00:17:25,186,0.08630371,-0.09790039,1.0411377,-15.183207,-6.6946564,0.3816794
2000/01/17@00:17:26,187,0.036193848,-0.03894043,1.0508423,17.045802,10.511451,0.21374046
2000/01/17@00:17:27,188,0.04272461,-0.07354736,1.0395508,2.4503818,2.2671756,0.183206116
2000/01/17@00:17:28,189,0.0546875,-0.06817627,1.046814,-1.0610686,1.0229008,-0.5496183
2000/01/17@00:17:29,190,0.05053711,-0.051452636,1.0430298,4.778626,4.152672,-1.85496184
2000/01/17@00:17:30,191,-0.0061035156,0.030029296,1.0462646,-18.175574,-0.396946584,-0.2519084
2000/01/17@00:17:31,192,0.0647583,-0.05444336,1.0379639,5.10687,3.9389312,2.480916
2000/01/17@00:17:33,194,0.04168701,-0.06567383,1.045227,-2.3206108,2.610687,-0.6183206
2000/01/17@00:17:34,195,0.022827148,-0.031982422,1.0474854,3.793893,2.3282442,-2.8091602
2000/01/17@00:17:35,196,0.0256958,-0.020202636,1.0447998,1.389313,2.6717558,-0.40458016
2000/01/17@00:17:36,197,0.025024414,-0.035095216,1.045166,-8.587787,-2.6335878,-3.1450382
2000/01/17@00:17:37,198,0.032592772,-0.03540039,1.0387573,3.687023,2.9923664,-1.3435115
2000/01/17@00:17:38,199,0.024780274,-0.050720216,1.0412598,-3.3282442,0.8015267,-1.4351145
2000/01/17@00:17:39,200,-0.022705078,0.01586914,1.0563354,-5.5419844,-0.9847328,-5.6946564
2000/01/17@00:17:40,201,0.003967285,-0.014404297,1.0394287,-4.0534352,-0.07633588,-0.90839692
2000/01/17@00:17:41,202,-0.0024414062,-0.017150878,1.0430908,-3.1908398,0.7557252,-0.610687
2000/01/17@00:17:42,203,-0.0010986328,-0.008605957,1.0480957,-3.43511468,0.54198476,-1.7328244
